"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"ABIES","","Abies","","Abies","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","","Abies","","amabilis","","","","","","","","","","","(Douglas ex Loudon) Douglas ex Forbes","","","",""
"ABLA","","Abies lasiocarpa","","Abies","","lasiocarpa","","","","","","","","","","","(Hook.) Nutt.","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","","Abies","","lasiocarpa","","","","var.","","lasiocarpa","","","","","(Hook.) Nutt.","(Hook.) Nutt.","","",""
"ABLAL","ABBAL","Abies balsamea ssp. lasiocarpa","","Abies","","balsamea","ssp.","","lasiocarpa","","","","","","","","(L.) Mill.","(Hook.) B. Boivin","","",""
"ABLAL","ABBAF","Abies balsamea var. fallax","","Abies","","balsamea","","","","var.","","fallax","","","","","(L.) Mill.","(Engelm.) B. Boivin","","",""
"ABLAL","ABBI3","Abies bifolia","","Abies","","bifolia","","","","","","","","","","","A. Murray bis","","","",""
"ABLAL","ABLAB","Abies lasiocarpa ssp. bifolia","","Abies","","lasiocarpa","ssp.","","bifolia","","","","","","","","(Hook.) Nutt.","(A. Murray bis) Silba","","",""
"ABLAL","ABLAB2","Abies lasiocarpa var. bifolia","","Abies","","lasiocarpa","","","","var.","","bifolia","","","","","(Hook.) Nutt.","(A. Murray bis) Eckenw.","","",""
"ABLAL","ABSU","Abies subalpina","","Abies","","subalpina","","","","","","","","","","","Engelmann","","","",""
"ACARO2","","Acarospora","","Acarospora","","","","","","","","","","","","","","","","",""
"ACER","","Acer","","Acer","","","","","","","","","","","","","","","","",""
"ACCI","","Acer circinatum","","Acer","","circinatum","","","","","","","","","","","Pursh","","","",""
"ACGL","","Acer glabrum","","Acer","","glabrum","","","","","","","","","","","Torr.","","","",""
"ACGLD4","","Acer glabrum var. douglasii","","Acer","","glabrum","","","","var.","","douglasii","","","","","Torr.","(Hook.) Dippel","","",""
"ACGLD4","ACDO","Acer douglasii","","Acer","","douglasii","","","","","","","","","","","Hook.","","","",""
"ACGLD4","ACGLD2","Acer glabrum ssp. douglasii","","Acer","","glabrum","ssp.","","douglasii","","","","","","","","Torr.","(Hook.) Wesmael","","",""
"ACHIL","","Achillea","","Achillea","","","","","","","","","","","","","","","","",""
"ACMI2","","Achillea millefolium","","Achillea","","millefolium","","","","","","","","","","","L.","","","",""
"ACMIA","","Achillea millefolium var. alpicola","","Achillea","","millefolium","","","","var.","","alpicola","","","","","L.","(Rydb.) Garrett","","",""
"ACMIA","ACAL11","Achillea alpicola","","Achillea","","alpicola","","","","","","","","","","","(Rydb.) Rydb.","","","",""
"ACMIA","ACFU","Achillea fusca","","Achillea","","fusca","","","","","","","","","","","Rydb.","","","",""
"ACMIA","ACLAA","Achillea lanulosa ssp. alpicola","","Achillea","","lanulosa","ssp.","","alpicola","","","","","","","","Nutt.","(Rydb.) D.D. Keck","","",""
"ACMIA","ACLAA2","Achillea lanulosa var. alpicola","","Achillea","","lanulosa","","","","var.","","alpicola","","","","","Nutt.","Rydb.","","",""
"ACMIA","ACMIF","Achillea millefolium var. fusca","","Achillea","","millefolium","","","","var.","","fusca","","","","","L.","(Rydb.) G.N. Jones","","",""
"ACMIA","ACSU3","Achillea subalpina","","Achillea","","subalpina","","","","","","","","","","","Greene","","","",""
"ACMIB","","Achillea millefolium var. borealis","","Achillea","","millefolium","","","","var.","","borealis","","","","","L.","(Bong.) Farw.","","",""
"ACMIB","ACBO","Achillea borealis","","Achillea","","borealis","","","","","","","","","","","Bong.","","","",""
"ACMIB","ACBOT","Achillea borealis ssp. typica","","Achillea","","borealis","ssp.","","typica","","","","","","","","Bong.","D.D. Keck","","",""
"ACMIB","ACMIA3","Achillea millefolium ssp. atrotegula","","Achillea","","millefolium","ssp.","","atrotegula","","","","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIB2","Achillea millefolium ssp. borealis","","Achillea","","millefolium","ssp.","","borealis","","","","","","","","L.","(Bong.) Breitung","","",""
"ACMIB","ACMIF2","Achillea millefolium var. fulva","","Achillea","","millefolium","","","","var.","","fulva","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIP3","Achillea millefolium var. parviligula","","Achillea","","millefolium","","","","var.","","parviligula","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIP4","Achillea millefolium var. parvula","","Achillea","","millefolium","","","","var.","","parvula","","","","","L.","B. Boivin","","",""
"ACMIN","","Achillea millefolium var. nigrescens","","Achillea","","millefolium","","","","var.","","nigrescens","","","","","L.","E. Mey.","","",""
"ACMIN","ACNI4","Achillea nigrescens","","Achillea","","nigrescens","","","","","","","","","","","(E. Mey.) Rydb.","","","",""
"ACMIO","","Achillea millefolium var. occidentalis","","Achillea","","millefolium","","","","var.","","occidentalis","","","","","L.","DC.","","",""
"ACMIO","ACAN7","Achillea angustissima","","Achillea","","angustissima","","","","","","","","","","","Rydb.","","","",""
"ACMIO","ACAS2","Achillea aspleniifolia","","Achillea","","aspleniifolia","","","","","","","","","","","auct. non Vent.","","","",""
"ACMIO","ACER2","Achillea eradiata","","Achillea","","eradiata","","","","","","","","","","","Piper","","","",""
"ACMIO","ACGR5","Achillea gracilis","","Achillea","","gracilis","","","","","","","","","","","Raf.","","","",""
"ACMIO","ACLA5","Achillea lanulosa","","Achillea","","lanulosa","","","","","","","","","","","Nutt.","","","",""
"ACMIO","ACLAT","Achillea lanulosa ssp. typica","","Achillea","","lanulosa","ssp.","","typica","","","","","","","","Nutt.","D.D. Keck","","",""
"ACMIO","ACLAA3","Achillea lanulosa var. arachnoidea","","Achillea","","lanulosa","","","","var.","","arachnoidea","","","","","Nutt.","Lunell","","",""
"ACMIO","ACLAE","Achillea lanulosa var. eradiata","","Achillea","","lanulosa","","","","var.","","eradiata","","","","","Nutt.","(Piper) M. Peck","","",""
"ACMIO","ACLA3","Achillea laxiflora","","Achillea","","laxiflora","","","","","","","","","","","Pollard & Cockerell","","","",""
"ACMIO","ACMIL","Achillea millefolium ssp. lanulosa","","Achillea","","millefolium","ssp.","","lanulosa","","","","","","","","L.","(Nutt.) Piper","","",""
"ACMIO","ACMIO2","Achillea millefolium ssp. occidentalis","","Achillea","","millefolium","ssp.","","occidentalis","","","","","","","","L.","(DC.) Hyl.","","",""
"ACMIO","ACMIP5","Achillea millefolium ssp. pallidotegula","","Achillea","","millefolium","ssp.","","pallidotegula","","","","","","","","L.","B. Boivin","","",""
"ACMIO","ACMIA4","Achillea millefolium var. aspleniifolia","","Achillea","","millefolium","","","","var.","","aspleniifolia","","","","","L.","(Vent.) Farw.","","",""
"ACMIO","ACMIG2","Achillea millefolium var. gracilis","","Achillea","","millefolium","","","","var.","","gracilis","","","","","L.","(Raf.) Raf. ex DC.","","",""
"ACMIO","ACMIL3","Achillea millefolium var. lanulosa","","Achillea","","millefolium","","","","var.","","lanulosa","","","","","L.","(Nutt.) Piper","","",""
"ACMIO","ACMIR","Achillea millefolium var. rosea","","Achillea","","millefolium","","","","var.","","rosea","","","","","L.","(Desf.) Torr. & A. Gray","","",""
"ACMIO","ACMIR2","Achillea millefolium var. russeolata","","Achillea","","millefolium","","","","var.","","russeolata","","","","","L.","B. Boivin","","",""
"ACMIO","ACOC","Achillea occidentalis","","Achillea","","occidentalis","","","","","","","","","","","(DC.) Raf. ex Rydb.","","","",""
"ACMIO","ACRO4","Achillea rosea","","Achillea","","rosea","","","","","","","","","","","Desf.","","","",""
"ACMIO","ACTO3","Achillea tomentosa","","Achillea","","tomentosa","","","","","","","","","","","Pursh, non L.","","","",""
"ACMIP","","Achillea millefolium var. pacifica","","Achillea","","millefolium","","","","var.","","pacifica","","","","","L.","(Rydb.) G.N. Jones","","",""
"ACMIP","ACPA5","Achillea pacifica","","Achillea","","pacifica","","","","","","","","","","","Rydb.","","","",""
"ACPT","","Achillea ptarmica","","Achillea","","ptarmica","","","","","","","","","","","L.","","","",""
"ACSI","","Achillea sibirica","","Achillea","","sibirica","","","","","","","","","","","Ledeb.","","","",""
"ACSI","ACMU3","Achillea multiflora","","Achillea","","multiflora","","","","","","","","","","","Hook.","","","",""
"ACHNA","","Achnatherum","","Achnatherum","","","","","","","","","","","","","","","","",""
"ACRI8","","Achnatherum richardsonii","","Achnatherum","","richardsonii","","","","","","","","","","","(Link) Barkworth","","","",""
"ACRI8","STRI2","Stipa richardsonii","","Stipa","","richardsonii","","","","","","","","","","","Link","","","",""
"ACONI","","Aconitum","","Aconitum","","","","","","","","","","","","","","","","",""
"ACDE2","","Aconitum delphiniifolium","","Aconitum","","delphiniifolium","","","","","","","","","","","DC.","","","",""
"ACDEC","","Aconitum delphiniifolium ssp. chamissonianum","","Aconitum","","delphiniifolium","ssp.","","chamissonianum","","","","","","","","DC.","(Rchb.) Hultén","","",""
"ACDED3","","Aconitum delphiniifolium ssp. delphiniifolium","","Aconitum","","delphiniifolium","ssp.","","delphiniifolium","","","","","","","","DC.","DC.","","",""
"ACDED3","ACDEA","Aconitum delphiniifolium var. albiflorum","","Aconitum","","delphiniifolium","","","","var.","","albiflorum","","","","","DC.","A.E. Porsild","","",""
"ACDEP","","Aconitum delphiniifolium ssp. paradoxum","","Aconitum","","delphiniifolium","ssp.","","paradoxum","","","","","","","","DC.","(Rchb.) Hultén","","",""
"ACDEP","ACNI3","Aconitum nivatum","","Aconitum","","nivatum","","","","","","","","","","","A. Nelson","","","",""
"ACMA4","","Aconitum maximum","","Aconitum","","maximum","","","","","","","","","","","Pall. ex DC.","","","",""
"ACORU","","Acorus","","Acorus","","","","","","","","","","","","","","","","",""
"ACAM","","Acorus americanus","","Acorus","","americanus","","","","","","","","","","","(Raf.) Raf.","","","",""
"ACAM","ACCA10","Acorus calamus","","Acorus","","calamus","","","","","","","","","","","auct. non L.","","","",""
"ACAM","ACCAA2","Acorus calamus var. americanus","","Acorus","","calamus","","","","var.","","americanus","","","","","L.","(Raf.) H.D. Wulff.","","",""
"ACTAE","","Actaea","","Actaea","","","","","","","","","","","","","","","","",""
"ACRU2","","Actaea rubra","","Actaea","","rubra","","","","","","","","","","","(Aiton) Willd.","","","",""
"ACRUA8","","Actaea rubra ssp. arguta","","Actaea","","rubra","ssp.","","arguta","","","","","","","","(Aiton) Willd.","(Nutt.) Hultén","","",""
"ACRUA8","ACAR7","Actaea arguta","","Actaea","","arguta","","","","","","","","","","","Nutt.","","","",""
"ACRUA8","ACARV","Actaea arguta var. viridiflora","","Actaea","","arguta","","","","var.","","viridiflora","","","","","Nutt.","(Greene) Tidestr.","","",""
"ACRUA8","ACRUA","Actaea rubra var. arguta","","Actaea","","rubra","","","","var.","","arguta","","","","","(Aiton) Willd.","(Nutt.) G. Lawson","","",""
"ACRUA8","ACSPA","Actaea spicata var. arguta","","Actaea","","spicata","","","","var.","","arguta","","","","","L.","(Nutt.) Torr.","","",""
"ACRUR2","","Actaea rubra ssp. rubra","","Actaea","","rubra","ssp.","","rubra","","","","","","","","(Aiton) Willd.","(Aiton) Willd.","","",""
"ACRUR2","ACSPR3","Actaea spicata ssp. rubra","","Actaea","","spicata","ssp.","","rubra","","","","","","","","L.","(Aiton) Hultén","","",""
"ADIAN","","Adiantum","","Adiantum","","","","","","","","","","","","","","","","",""
"ADAL","","Adiantum aleuticum","","Adiantum","","aleuticum","","","","","","","","","","","(Rupr.) Paris","","","",""
"ADAL","ADPEA2","Adiantum pedatum ssp. aleuticum","","Adiantum","","pedatum","ssp.","","aleuticum","","","","","","","","L.","(Rupr.) Calder & Roy L. Taylor","","",""
"ADAL","ADPEC","Adiantum pedatum ssp. calderi","","Adiantum","","pedatum","ssp.","","calderi","","","","","","","","L.","Cody","","",""
"ADAL","ADPES","Adiantum pedatum ssp. subpumilum","","Adiantum","","pedatum","ssp.","","subpumilum","","","","","","","","L.","(W.H. Wagner) Lellinger","","",""
"ADAL","ADPEA","Adiantum pedatum var. aleuticum","","Adiantum","","pedatum","","","","var.","","aleuticum","","","","","L.","Rupr.","","",""
"ADAL","ADPES2","Adiantum pedatum var. subpumilum","","Adiantum","","pedatum","","","","var.","","subpumilum","","","","","L.","W.H. Wagner","","",""
"ADOXA","","Adoxa","","Adoxa","","","","","","","","","","","","","","","","",""
"ADMO","","Adoxa moschatellina","","Adoxa","","moschatellina","","","","","","","","","","","L.","","","",""
"AGOSE","","Agoseris","","Agoseris","","","","","","","","","","","","","","","","",""
"AGAU2","","Agoseris aurantiaca","","Agoseris","","aurantiaca","","","","","","","","","","","(Hook.) Greene","","","",""
"AGAUA","","Agoseris aurantiaca var. aurantiaca","","Agoseris","","aurantiaca","","","","var.","","aurantiaca","","","","","(Hook.) Greene","(Hook.) Greene","","",""
"AGAUA","AGGR7","Agoseris graminifolia","","Agoseris","","graminifolia","","","","","","","","","","","Greene","","","",""
"AGAUA","AGRO2","Agoseris rostrata","","Agoseris","","rostrata","","","","","","","","","","","Rydb.","","","",""
"AGAUA","TRAU8","Troximon aurantiacum","","Troximon","","aurantiacum","","","","","","","","","","","Hook.","","","",""
"AGGL","","Agoseris glauca","","Agoseris","","glauca","","","","","","","","","","","(Pursh) Raf.","","","",""
"AGGLD","","Agoseris glauca var. dasycephala","","Agoseris","","glauca","","","","var.","","dasycephala","","","","","(Pursh) Raf.","(Torr. & A. Gray) Jeps.","","",""
"AGGLD","AGGLS","Agoseris glauca ssp. scorzonerifolia","","Agoseris","","glauca","ssp.","","scorzonerifolia","","","","","","","","(Pursh) Raf.","(Schrad.) Piper","","",""
"AGGLD","AGGLA2","Agoseris glauca var. asper","","Agoseris","","glauca","","","","var.","","asper","","","","","(Pursh) Raf.","(Rydb.) Cronquist","","",""
"AGGLD","AGGLP2","Agoseris glauca var. pumila","","Agoseris","","glauca","","","","var.","","pumila","","","","","(Pursh) Raf.","(Nutt.) Garrett","","",""
"AGGLD","AGSC7","Agoseris scorzonerifolia","","Agoseris","","scorzonerifolia","","","","","","","","","","","(Schrad.) Greene","","","",""
"AGGLD","TRGLD","Troximon glaucum var. dasycephalum","","Troximon","","glaucum","","","","var.","","dasycephalum","","","","","Pursh","Torr. & A. Gray","","",""
"AGROP2","","Agropyron","","Agropyron","","","","","","","","","","","","","","","","",""
"AGCR","","Agropyron cristatum","","Agropyron","","cristatum","","","","","","","","","","","(L.) Gaertn.","","","",""
"AGCRP8","","Agropyron cristatum ssp. pectinatum","","Agropyron","","cristatum","ssp.","","pectinatum","","","","","","","","(L.) Gaertn.","(M. Bieb.) Tzvelev","","",""
"AGCRP8","AGCR3","Agropyron cristatiforme","","Agropyron","","cristatiforme","","","","","","","","","","","Sarkar","","","",""
"AGCRP8","AGPE6","Agropyron pectinatum","","Agropyron","","pectinatum","","","","","","","","","","","(M. Bieb.) P. Beauv.","","","",""
"AGCRP8","AGPE5","Agropyron pectiniforme","","Agropyron","","pectiniforme","","","","","","","","","","","Roem. & Schult.","","","",""
"AGROS","","Agrostemma","","Agrostemma","","","","","","","","","","","","","","","","",""
"AGGI","","Agrostemma githago","","Agrostemma","","githago","","","","","","","","","","","L.","","","",""
"AGROS2","","Agrostis","","Agrostis","","","","","","","","","","","","","","","","",""
"AGAE","","Agrostis aequivalvis","","Agrostis","","aequivalvis","","","","","","","","","","","(Trin.) Trin.","","","",""
"AGAE","POAE","Podagrostis aequivalvis","","Podagrostis","","aequivalvis","","","","","","","","","","","(Trin.) Scribn. & Merr.","","","",""
"AGCA5","","Agrostis capillaris","","Agrostis","","capillaris","","","","","","","","","","","L.","","","",""
"AGCA5","AGSY2","Agrostis sylvatica","","Agrostis","","sylvatica","","","","","","","","","","","Huds.","","","",""
"AGCA5","AGTE","Agrostis tenuis","","Agrostis","","tenuis","","","","","","","","","","","Sibth.","","","",""
"AGCA5","AGTEA","Agrostis tenuis var. aristata","","Agrostis","","tenuis","","","","var.","","aristata","","","","","Sibth.","(Parnell) Druce","","",""
"AGCA5","AGTEH","Agrostis tenuis var. hispida","","Agrostis","","tenuis","","","","var.","","hispida","","","","","Sibth.","(Willd.) Philipson","","",""
"AGCA5","AGTEP","Agrostis tenuis var. pumila","","Agrostis","","tenuis","","","","var.","","pumila","","","","","Sibth.","(L.) Druce","","",""
"AGCA5","AGVU2","Agrostis vulgaris","","Agrostis","","vulgaris","","","","","","","","","","","With.","","","",""
"AGCL","","Agrostis clavata","","Agrostis","","clavata","","","","","","","","","","","Trin.","","","",""
"AGEX","","Agrostis exarata","","Agrostis","","exarata","","","","","","","","","","","Trin.","","","",""
"AGEX","AGAE2","Agrostis aenea","","Agrostis","","aenea","","","","","","","","","","","Trin.","","","",""
"AGEX","AGAL2","Agrostis alaskana","","Agrostis","","alaskana","","","","","","","","","","","Hultén","","","",""
"AGEX","AGAM2","Agrostis ampla","","Agrostis","","ampla","","","","","","","","","","","Hitchc.","","","",""
"AGEX","AGAS4","Agrostis asperifolia","","Agrostis","","asperifolia","","","","","","","","","","","Trin.","","","",""
"AGEX","AGEXM3","Agrostis exarata ssp. minor","","Agrostis","","exarata","ssp.","","minor","","","","","","","","Trin.","(Hook.) C.L. Hitchc.","","",""
"AGEX","AGEXM","Agrostis exarata var. minor","","Agrostis","","exarata","","","","var.","","minor","","","","","Trin.","Hook.","","",""
"AGEX","AGEXM2","Agrostis exarata var. monolepis","","Agrostis","","exarata","","","","var.","","monolepis","","","","","Trin.","(Torr.) Hitchc.","","",""
"AGEX","AGEXP2","Agrostis exarata var. pacifica","","Agrostis","","exarata","","","","var.","","pacifica","","","","","Trin.","Vasey","","",""
"AGEX","AGEXP","Agrostis exarata var. purpurascens","","Agrostis","","exarata","","","","var.","","purpurascens","","","","","Trin.","Hultén","","",""
"AGEX","AGLO2","Agrostis longiligula","","Agrostis","","longiligula","","","","","","","","","","","Hitchc.","","","",""
"AGEX","AGLOA","Agrostis longiligula var. australis","","Agrostis","","longiligula","","","","var.","","australis","","","","","Hitchc.","J.T. Howell","","",""
"AGEX","AGME","Agrostis melaleuca","","Agrostis","","melaleuca","","","","","","","","","","","(Trin.) Hitchc.","","","",""
"AGEX","AGMIM","Agrostis microphylla var. major","","Agrostis","","microphylla","","","","var.","","major","","","","","Steud.","Vasey","","",""
"AGGI2","","Agrostis gigantea","","Agrostis","","gigantea","","","","","","","","","","","Roth","","","",""
"AGGI2","AGAL3","Agrostis alba","","Agrostis","","alba","","","","","","","","","","","auct. non L.","","","",""
"AGGI2","AGGID","Agrostis gigantea var. dispar","","Agrostis","","gigantea","","","","var.","","dispar","","","","","Roth","(Michx.) Philipson","","",""
"AGGI2","AGNI","Agrostis nigra","","Agrostis","","nigra","","","","","","","","","","","With.","","","",""
"AGGI2","AGSTG","Agrostis stolonifera ssp. gigantea","","Agrostis","","stolonifera","ssp.","","gigantea","","","","","","","","L.","(Roth) Schübl. & G. Martens","","",""
"AGGI2","AGSTM","Agrostis stolonifera var. major","","Agrostis","","stolonifera","","","","var.","","major","","","","","L.","(Gaudin) Farw.","","",""
"AGHU","","Agrostis humilis","","Agrostis","","humilis","","","","","","","","","","","Vasey","","","",""
"AGHU","AGTH2","Agrostis thurberiana","","Agrostis","","thurberiana","","","","","","","","","","","Hitchc.","","","",""
"AGHU","POHU","Podagrostis humilis","","Podagrostis","","humilis","","","","","","","","","","","(Vasey) Björkman","","","",""
"AGHU","POTH3","Podagrostis thurberiana","","Podagrostis","","thurberiana","","","","","","","","","","","(Hitchc.) Hultén","","","",""
"AGID","","Agrostis idahoensis","","Agrostis","","idahoensis","","","","","","","","","","","Nash","","","",""
"AGID","AGBOR","Agrostis borealis var. recta","","Agrostis","","borealis","","","","var.","","recta","","","","","Hartm.","(Hartm.) B. Boivin","","",""
"AGID","AGCL4","Agrostis clavata","","Agrostis","","clavata","","","","","","","","","","","auct. non Trin.","","","",""
"AGID","AGFI3","Agrostis filicumis","","Agrostis","","filicumis","","","","","","","","","","","M.E. Jones","","","",""
"AGME3","","Agrostis mertensii","","Agrostis","","mertensii","","","","","","","","","","","Trin.","","","",""
"AGME3","AGBA5","Agrostis bakeri","","Agrostis","","bakeri","","","","","","","","","","","Rydb.","","","",""
"AGME3","AGBO2","Agrostis borealis","","Agrostis","","borealis","","","","","","","","","","","Hartm.","","","",""
"AGME3","AGBOA3","Agrostis borealis var. americana","","Agrostis","","borealis","","","","var.","","americana","","","","","Hartm.","(Scribn.) Fernald","","",""
"AGME3","AGBOP","Agrostis borealis var. paludosa","","Agrostis","","borealis","","","","var.","","paludosa","","","","","Hartm.","(Scribn.) Fernald","","",""
"AGME3","AGIDB","Agrostis idahoensis var. bakeri","","Agrostis","","idahoensis","","","","var.","","bakeri","","","","","Nash","(Rydb.) W.A. Weber","","",""
"AGME3","AGMEB","Agrostis mertensii ssp. borealis","","Agrostis","","mertensii","ssp.","","borealis","","","","","","","","Trin.","(Hartm.) Tzvelev","","",""
"AGME3","AGRU2","Agrostis rupestris","","Agrostis","","rupestris","","","","","","","","","","","auct. non All.","","","",""
"AGSC5","","Agrostis scabra","","Agrostis","","scabra","","","","","","","","","","","Willd.","","","",""
"AGSC5","AGGE2","Agrostis geminata","","Agrostis","","geminata","","","","","","","","","","","Trin.","","","",""
"AGSC5","AGHYG","Agrostis hyemalis var. geminata","","Agrostis","","hyemalis","","","","var.","","geminata","","","","","(Walter) Britton, Sterns & Poggenb.","(Trin.) Hitchc.","","",""
"AGSC5","AGHYS","Agrostis hyemalis var. scabra","","Agrostis","","hyemalis","","","","var.","","scabra","","","","","(Walter) Britton, Sterns & Poggenb.","(Willd.) Blomquist","","",""
"AGSC5","AGHYT","Agrostis hyemalis var. tenuis","","Agrostis","","hyemalis","","","","var.","","tenuis","","","","","(Walter) Britton, Sterns & Poggenb.","(Tuck.) Gleason","","",""
"AGSC5","AGSCS4","Agrostis scabra ssp. septentrionalis","","Agrostis","","scabra","ssp.","","septentrionalis","","","","","","","","Willd.","(Fernald) Á. Löve & D. Löve","","",""
"AGSC5","AGSCG","Agrostis scabra var. geminata","","Agrostis","","scabra","","","","var.","","geminata","","","","","Willd.","(Trin.) Swallen","","",""
"AGSC5","AGSCS","Agrostis scabra var. septentrionalis","","Agrostis","","scabra","","","","var.","","septentrionalis","","","","","Willd.","Fernald","","",""
"AGST2","","Agrostis stolonifera","","Agrostis","","stolonifera","","","","","","","","","","","L.","","","",""
"AGST2","AGALP","Agrostis alba var. palustris","","Agrostis","","alba","","","","var.","","palustris","","","","","L.","(Huds.) Pers.","","",""
"AGST2","AGALS","Agrostis alba var. stolonifera","","Agrostis","","alba","","","","var.","","stolonifera","","","","","L.","(L.) Sm.","","",""
"AGST2","AGMA10","Agrostis maritima","","Agrostis","","maritima","","","","","","","","","","","Lam.","","","",""
"AGST2","AGPA17","Agrostis palustris","","Agrostis","","palustris","","","","","","","","","","","Huds.","","","",""
"AGST2","AGSTC","Agrostis stolonifera var. compacta","","Agrostis","","stolonifera","","","","var.","","compacta","","","","","L.","Hartm.","","",""
"AGST2","AGSTP","Agrostis stolonifera var. palustris","","Agrostis","","stolonifera","","","","var.","","palustris","","","","","L.","(Huds.) Farw.","","",""
"AGVI9","","Agrostis vinealis","","Agrostis","","vinealis","","","","","","","","","","","Schreb.","","","",""
"AGVIV3","","Agrostis vinealis ssp. vinealis","","Agrostis","","vinealis","ssp.","","vinealis","","","","","","","","Schreb.","Schreb.","","",""
"AGVIV3","AGCAM3","Agrostis canina ssp. montana","","Agrostis","","canina","ssp.","","montana","","","","","","","","L.","(Hartm.) Hartm.","","",""
"AGVIV3","AGCAA2","Agrostis canina var. arida","","Agrostis","","canina","","","","var.","","arida","","","","","L.","Schltdl.","","",""
"AGVIV3","AGCAM4","Agrostis canina var. montana","","Agrostis","","canina","","","","var.","","montana","","","","","L.","Hartm.","","",""
"AGVIV3","AGST5","Agrostis stricta","","Agrostis","","stricta","","","","","","","","","","","J.F. Gmel.","","","",""
"AGVIV3","AGTR4","Agrostis trinii","","Agrostis","","trinii","","","","","","","","","","","Turcz.","","","",""
"AGVIV3","AGVIT","Agrostis vinealis ssp. trinii","","Agrostis","","vinealis","ssp.","","trinii","","","","","","","","Schreb.","(Turcz.) Tzvelev","","",""
"AIRA","","Aira","","Aira","","","","","","","","","","","","","","","","",""
"AICA","","Aira caryophyllea","","Aira","","caryophyllea","","","","","","","","","","","L.","","","",""
"AICAC2","","Aira caryophyllea var. caryophyllea","","Aira","","caryophyllea","","","","var.","","caryophyllea","","","","","L.","L.","","",""
"AICAC2","ASCA22","Aspris caryophyllea","","Aspris","","caryophyllea","","","","","","","","","","","(L.) Nash","","","",""
"ALCHE","","Alchemilla","","Alchemilla","","","","","","","","","","","","","","","","",""
"ALMO4","","Alchemilla monticola","","Alchemilla","","monticola","","","","","","","","","","","Opiz","","","",""
"ALMO4","ALPR5","Alchemilla pratensis","","Alchemilla","","pratensis","","","","","","","","","","","auct. non F.W. Schmidt","","","",""
"ALMO4","ALVU2","Alchemilla vulgaris","","Alchemilla","","vulgaris","","","","","","","","","","","auct. non L.","","","",""
"ALMO4","ALVUP","Alchemilla vulgaris var. pastoralis","","Alchemilla","","vulgaris","","","","var.","","pastoralis","","","","","L.","(Buser) B. Boivin","","",""
"ALMO4","ALXA","Alchemilla xanthochlora","","Alchemilla","","xanthochlora","","","","","","","","","","","auct. non Rothm.","","","",""
"ALSU2","","Alchemilla subcrenata","","Alchemilla","","subcrenata","","","","","","","","","","","Buser","","","",""
"ALISM","","Alisma","","Alisma","","","","","","","","","","","","","","","","",""
"ALPL","","Alisma plantago-aquatica","","Alisma","","plantago-aquatica","","","","","","","","","","","L.","","","",""
"ALTR7","","Alisma triviale","","Alisma","","triviale","","","","","","","","","","","Pursh","","","",""
"ALTR7","ALBR10","Alisma brevipes","","Alisma","","brevipes","","","","","","","","","","","Greene","","","",""
"ALTR7","ALPLB","Alisma plantago-aquatica ssp. brevipes","","Alisma","","plantago-aquatica","ssp.","","brevipes","","","","","","","","L.","(Greene) Sam.","","",""
"ALTR7","ALPLA","Alisma plantago-aquatica var. americanum","","Alisma","","plantago-aquatica","","","","var.","","americanum","","","","","L.","Schult.","","",""
"ALTR7","ALPLB2","Alisma plantago-aquatica var. brevipes","","Alisma","","plantago-aquatica","","","","var.","","brevipes","","","","","L.","(Greene) Vict.","","",""
"ALLIA","","Alliaria","","Alliaria","","","","","","","","","","","","","","","","",""
"ALPE4","","Alliaria petiolata","","Alliaria","","petiolata","","","","","","","","","","","(M. Bieb.) Cavara & Grande","","","",""
"ALPE4","ALAL8","Alliaria alliaria","","Alliaria","","alliaria","","","","","","","","","","","(L.) Britton, nom. inval.","","","",""
"ALPE4","ALOF3","Alliaria officinalis","","Alliaria","","officinalis","","","","","","","","","","","Andrz. ex M. Bieb.","","","",""
"ALPE4","ERAL14","Erysimum alliaria","","Erysimum","","alliaria","","","","","","","","","","","L.","","","",""
"ALPE4","SIAL11","Sisymbrium alliaria","","Sisymbrium","","alliaria","","","","","","","","","","","(L.) Scop.","","","",""
"ALLIU","","Allium","","Allium","","","","","","","","","","","","","","","","",""
"ALFI4","","Allium fistulosum","","Allium","","fistulosum","","","","","","","","","","","L.","","","",""
"ALSC","","Allium schoenoprasum","","Allium","","schoenoprasum","","","","","","","","","","","L.","","","",""
"ALSCS2","","Allium schoenoprasum var. schoenoprasum","","Allium","","schoenoprasum","","","","var.","","schoenoprasum","","","","","L.","L.","","",""
"ALSCS","","Allium schoenoprasum var. sibiricum","","Allium","","schoenoprasum","","","","var.","","sibiricum","","","","","L.","(L.) Hartm.","","",""
