"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"SIPA4","SISCM","Silene scouleri var. macounii","","Silene","","scouleri","","","","var.","","macounii","","","","","Hook.","(S. Watson) B. Boivin","","",""
"SIPA4","SITE4","Silene tetonensis","","Silene","","tetonensis","","","","","","","","","","","A. Nelson","","","",""
"SIPA4","WAPA3","Wahlbergella parryi","","Wahlbergella","","parryi","","","","","","","","","","","(S. Watson) Rydb.","","","",""
"SIRE3","","Silene repens","","Silene","","repens","","","","","","","","","","","Patrin ex Pers.","","","",""
"SIREP","","Silene repens ssp. purpurata","","Silene","","repens","ssp.","","purpurata","","","","","","","","Patrin ex Pers.","(Greene) C.L. Hitchc. & Maguire","","",""
"SIREP","SIPU5","Silene purpurata","","Silene","","purpurata","","","","","","","","","","","Greene","","","",""
"SISO2","","Silene soczaviana","","Silene","","soczaviana","","","","","","","","","","","(Schischkin) Bocquet","","","",""
"SISO2","GASO","Gastrolychnis soczaviana","","Gastrolychnis","","soczaviana","","","","","","","","","","","(Schischkin) Tolm. & Kozh.","","","",""
"SISO2","MESO","Melandrium soczavianum","","Melandrium","","soczavianum","","","","","","","","","","","Schischkin","","","",""
"SISO3","","Silene sorensenis","","Silene","","sorensenis","","","","","","","","","","","(B. Boivin) Bocquet","","","",""
"SISO3","LYSO2","Lychnis sorensenis","","Lychnis","","sorensenis","","","","","","","","","","","B. Boivin","","","",""
"SISO3","LYTR4","Lychnis triflora","","Lychnis","","triflora","","","","","","","","","","","R. Br. ex Sommerf.","","","",""
"SISO3","METR7","Melandrium triflorum","","Melandrium","","triflorum","","","","","","","","","","","(R. Br. ex Sommerf.) J. Vahl","","","",""
"SITA","","Silene taimyrensis","","Silene","","taimyrensis","","","","","","","","","","","(Tolm.) Bocquet","","","",""
"SITA","GAOS","Gastrolychnis ostenfeldii","","Gastrolychnis","","ostenfeldii","","","","","","","","","","","(A.E. Porsild) V.V. Petrovsky","","","",""
"SITA","GATA2","Gastrolychnis taimyrensis","","Gastrolychnis","","taimyrensis","","","","","","","","","","","(Tolm.) Czerep.","","","",""
"SITA","GATRD","Gastrolychnis triflora ssp. dawsonii","","Gastrolychnis","","triflora","ssp.","","dawsonii","","","","","","","","(R. Br. ex Sommerf.) Tolm. & Kozh.","(B.L. Rob.) Á. Löve & D. Löve","","",""
"SITA","LYTA2","Lychnis taimyrensis","","Lychnis","","taimyrensis","","","","","","","","","","","(Tolm.) Polunin","","","",""
"SITA","LYTRD","Lychnis triflora ssp. dawsonii","","Lychnis","","triflora","ssp.","","dawsonii","","","","","","","","R. Br. ex Sommerf.","(B.L. Rob.) Maguire","","",""
"SITA","LYTRD2","Lychnis triflora var. dawsonii","","Lychnis","","triflora","","","","var.","","dawsonii","","","","","R. Br. ex Sommerf.","B.L. Rob.","","",""
"SITA","MEOS","Melandrium ostenfeldii","","Melandrium","","ostenfeldii","","","","","","","","","","","A.E. Porsild","","","",""
"SITA","META3","Melandrium taimyrense","","Melandrium","","taimyrense","","","","","","","","","","","Tolm.","","","",""
"SITA2","","Silene tayloriae","","Silene","","tayloriae","","","","","","","","","","","(B.L. Rob.) Hultén","","","",""
"SITA2","GAANT2","Gastrolychnis angustifolia ssp. tenella","","Gastrolychnis","","angustifolia","ssp.","","tenella","","","","","","","","Rupr.","(Tolm.) Tolm. & Kozh.","","",""
"SITA2","GAINT","Gastrolychnis involucrata ssp. tenella","","Gastrolychnis","","involucrata","ssp.","","tenella","","","","","","","","(Cham. & Schltdl.) Á. Löve & D. Löve","(Tolm.) Á. Löve & D. Löve","","",""
"SITA2","LYTA3","Lychnis tayloriae","","Lychnis","","tayloriae","","","","","","","","","","","B.L. Rob.","","","",""
"SITA2","MEANT","Melandrium angustiflorum ssp. tenellum","","Melandrium","","angustiflorum","ssp.","","tenellum","","","","","","","","(Rupr.) Walp.","(Tolm.) Kozh.","","",""
"SITA2","META2","Melandrium tayloriae","","Melandrium","","tayloriae","","","","","","","","","","","(B.L. Rob.) Tolm.","","","",""
"SITA2","METE3","Melandrium tenellum","","Melandrium","","tenellum","","","","","","","","","","","(Tolm.) Tolm.","","","",""
"SITA2","SIINT","Silene involucrata ssp. tenella","","Silene","","involucrata","ssp.","","tenella","","","","","","","","(Cham. & Schltdl.) Bocquet","(Tolm.) Bocquet","","",""
"SITA2","WATA","Wahlbergella tayloriae","","Wahlbergella","","tayloriae","","","","","","","","","","","(B.L. Rob.) Rydb.","","","",""
"SIUR","","Silene uralensis","","Silene","","uralensis","","","","","","","","","","","(Rupr.) Bocquet","","","",""
"SIURO","","Silene uralensis ssp. ogilviensis","","Silene","","uralensis","ssp.","","ogilviensis","","","","","","","","(Rupr.) Bocquet","(A.E. Porsild) Brunton","","",""
"SIURO","GASOO","Gastrolychnis soczaviana ssp. ogilviensis","","Gastrolychnis","","soczaviana","ssp.","","ogilviensis","","","","","","","","(Schischkin) Tolm. & Kozh.","(A.E. Porsild) Á. Löve & D. Löve","","",""
"SIURO","MEAPO","Melandrium apetalum ssp. ogilviense","","Melandrium","","apetalum","ssp.","","ogilviense","","","","","","","","(L.) Fenzl","A.E. Porsild","","",""
"SIURU","","Silene uralensis ssp. uralensis","","Silene","","uralensis","ssp.","","uralensis","","","","","","","","(Rupr.) Bocquet","(Rupr.) Bocquet","","",""
"SIURU","GAAP3","Gastrolychnis apetala","","Gastrolychnis","","apetala","","","","","","","","","","","(L.) Tolm. & Kozh.","","","",""
"SIURU","GAAPA","Gastrolychnis apetala ssp. arctica","","Gastrolychnis","","apetala","ssp.","","arctica","","","","","","","","(L.) Tolm. & Kozh.","(Fr.) Á. Löve & D. Löve","","",""
"SIURU","GAAPU","Gastrolychnis apetala ssp. uralensis","","Gastrolychnis","","apetala","ssp.","","uralensis","","","","","","","","(L.) Tolm. & Kozh.","(Rupr.) Á. Löve & D. Löve","","",""
"SIURU","GAUR3","Gastrolychnis uralensis","","Gastrolychnis","","uralensis","","","","","","","","","","","Rupr.","","","",""
"SIURU","LYAP","Lychnis apetala","","Lychnis","","apetala","","","","","","","","","","","L., non Silene apetala Willd.","","","",""
"SIURU","LYAPA2","Lychnis apetala var. arctica","","Lychnis","","apetala","","","","var.","","arctica","","","","","L.","(Fr.) Cody","","",""
"SIURU","LYAPG","Lychnis apetala var. glabra","","Lychnis","","apetala","","","","var.","","glabra","","","","","L.","Regel","","",""
"SIURU","MEAP","Melandrium apetalum","","Melandrium","","apetalum","","","","","","","","","","","(L.) Fenzl","","","",""
"SIURU","MEAPA2","Melandrium apetalum ssp. arcticum","","Melandrium","","apetalum","ssp.","","arcticum","","","","","","","","(L.) Fenzl","(Fr.) Hultén","","",""
"SIURU","MEAPG","Melandrium apetalum var. glabrum","","Melandrium","","apetalum","","","","var.","","glabrum","","","","","(L.) Fenzl","(Regel) Hultén","","",""
"SIURU","SIURA3","Silene uralensis ssp. apetala","","Silene","","uralensis","ssp.","","apetala","","","","","","","","(Rupr.) Bocquet","(L.) Bocquet","","",""
"SIURU","SIWA4","Silene wahlbergella","","Silene","","wahlbergella","","","","","","","","","","","Chowdhuri","","","",""
